taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- 0
83 -- 1 -- 101 -- 670 -- 318 -- 12.383404 -- 0.203 -- 1
81 -- 1 -- 102 -- 671 -- 318 -- 12.401858 -- 0.203 -- 1
2 -- 1 -- 93 -- 662 -- 318 -- 2.698247 -- 0.989 -- 1
131 -- 1 -- 102 -- 671 -- 318 -- 18.58165 -- 0.88 -- 1
93 -- 1 -- 87 -- 592 -- 318 -- 13.602867 -- 0.11 -- 1
96 -- 1 -- 88 -- 593 -- 318 -- 13.631806 -- 0.111 -- 1
94 -- 1 -- 95 -- 664 -- 318 -- 13.829884 -- 1.139 -- 1
95 -- 1 -- 96 -- 665 -- 318 -- 13.862449 -- 0.128 -- 1
75 -- 1 -- 88 -- 593 -- 318 -- 13.332899 -- 0.112 -- 1
65 -- 1 -- 87 -- 656 -- 318 -- 12.671405 -- 0.185 -- 1
119 -- 1 -- 101 -- 670 -- 318 -- 18.659489 -- 0.141 -- 1
68 -- 1 -- 100 -- 669 -- 318 -- 12.975366 -- 0.207 -- 1
76 -- 1 -- 102 -- 671 -- 318 -- 13.721446 -- 1.146 -- 1
58 -- 1 -- 87 -- 657 -- 318 -- 12.393476 -- 0.199 -- 1
66 -- 2 -- 99 -- 668 -- 318 -- 13.111816 -- 1.278 -- 1
29 -- 1 -- 95 -- 664 -- 318 -- 7.532802 -- 0.322 -- 1
59 -- 1 -- 94 -- 663 -- 318 -- 12.589749 -- 0.213 -- 1
57 -- 1 -- 94 -- 663 -- 318 -- 12.683377 -- 0.218 -- 1
60 -- 2 -- 100 -- 669 -- 318 -- 12.839715 -- 1.289 -- 1
114 -- 1 -- 102 -- 672 -- 318 -- 19.048669 -- 0.144 -- 1
52 -- 1 -- 87 -- 592 -- 318 -- 12.881143 -- 0.121 -- 1
42 -- 1 -- 87 -- 592 -- 318 -- 12.262542 -- 0.119 -- 1
25 -- 1 -- 97 -- 666 -- 318 -- 8.145149999999999 -- 0.321 -- 1
55 -- 1 -- 93 -- 662 -- 318 -- 13.041601 -- 1.124 -- 1
48 -- 1 -- 93 -- 662 -- 318 -- 12.656607 -- 0.132 -- 1
47 -- 1 -- 95 -- 664 -- 318 -- 12.700136 -- 1.142 -- 1
46 -- 1 -- 97 -- 666 -- 318 -- 12.70496 -- 0.136 -- 1
45 -- 1 -- 97 -- 666 -- 318 -- 12.72102 -- 0.136 -- 1
53 -- 1 -- 102 -- 671 -- 318 -- 13.186225 -- 0.144 -- 1
31 -- 1 -- 102 -- 671 -- 318 -- 9.110661 -- 0.29 -- 1
41 -- 1 -- 101 -- 670 -- 318 -- 12.588988 -- 0.143 -- 1
37 -- 1 -- 89 -- 594 -- 318 -- 12.290181 -- 0.124 -- 1
43 -- 1 -- 101 -- 670 -- 318 -- 12.62178 -- 0.143 -- 1
18 -- 1 -- 101 -- 670 -- 318 -- 7.936168 -- 0.346 -- 1
40 -- 1 -- 101 -- 670 -- 318 -- 12.57352 -- 1.124 -- 1
39 -- 1 -- 100 -- 669 -- 318 -- 12.584028 -- 0.145 -- 1
38 -- 1 -- 102 -- 671 -- 318 -- 12.646962 -- 0.149 -- 1
5 -- 1 -- 94 -- 663 -- 318 -- 7.644835 -- 0.302 -- 1
101 -- 1 -- 101 -- 669 -- 318 -- 20.243231 -- 0.133 -- 1
14 -- 1 -- 101 -- 670 -- 318 -- 8.852327000000001 -- 0.308 -- 1
64 -- 1 -- 92 -- 661 -- 318 -- 14.830149 -- 0.165 -- 1
73 -- 1 -- 86 -- 655 -- 318 -- 18.356396 -- 0.08 -- 1
63 -- 1 -- 95 -- 664 -- 318 -- 14.919519 -- 0.169 -- 1
67 -- 1 -- 94 -- 663 -- 318 -- 17.827366 -- 0.142 -- 1
