task_id -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
237 -- 1 -- 250 -- 0 -- 670 -- 15.312 -- 0 -- 2
238 -- 1 -- 285 -- 0 -- 715 -- 10.918 -- 0 -- 2
240 -- 1 -- 286 -- 0 -- 714 -- 7.711 -- 0 -- 2
241 -- 1 -- 252 -- 0 -- 670 -- 15.462 -- 0 -- 2
243 -- 1 -- 279 -- 0 -- 670 -- 21.629 -- 0 -- 2
244 -- 1 -- 285 -- 0 -- 715 -- 9.225 -- 0 -- 2
247 -- 1 -- 279 -- 0 -- 670 -- 26.811 -- 0 -- 2
248 -- 1 -- 251 -- 0 -- 670 -- 17.609 -- 0 -- 2
250 -- 1 -- 246 -- 0 -- 670 -- 20.47 -- 0 -- 2
251 -- 1 -- 288 -- 0 -- 715 -- 8.793 -- 0 -- 2
257 -- 1 -- 285 -- 0 -- 714 -- 8.752 -- 0 -- 2
258 -- 1 -- 271 -- 0 -- 670 -- 28.235 -- 0 -- 2
261 -- 1 -- 264 -- 0 -- 670 -- 22.766 -- 0 -- 2
267 -- 1 -- 266 -- 0 -- 670 -- 19.233 -- 0 -- 2
269 -- 1 -- 259 -- 0 -- 670 -- 28.183 -- 0 -- 2
272 -- 1 -- 278 -- 0 -- 670 -- 19.059 -- 0 -- 2
273 -- 1 -- 287 -- 0 -- 715 -- 8.898 -- 0 -- 2
274 -- 1 -- 254 -- 0 -- 670 -- 17.196 -- 0 -- 2
275 -- 1 -- 287 -- 0 -- 715 -- 7.742 -- 0 -- 2
277 -- 1 -- 285 -- 0 -- 715 -- 8.856 -- 0 -- 2
284 -- 1 -- 287 -- 0 -- 715 -- 7.517 -- 0 -- 2
285 -- 1 -- 242 -- 0 -- 670 -- 23.124 -- 0 -- 2
286 -- 1 -- 292 -- 0 -- 715 -- 7.703 -- 0 -- 2
289 -- 1 -- 279 -- 0 -- 670 -- 21.531 -- 0 -- 2
292 -- 1 -- 268 -- 0 -- 670 -- 23.965 -- 0 -- 2
293 -- 1 -- 287 -- 0 -- 714 -- 8.028 -- 0 -- 2
296 -- 1 -- 258 -- 0 -- 670 -- 16.771 -- 0 -- 2
297 -- 1 -- 287 -- 0 -- 714 -- 8.732 -- 0 -- 2
298 -- 1 -- 252 -- 0 -- 670 -- 16.851 -- 0 -- 2
300 -- 1 -- 251 -- 0 -- 670 -- 16.075 -- 0 -- 2
305 -- 1 -- 254 -- 0 -- 670 -- 18.051 -- 0 -- 2
308 -- 1 -- 286 -- 0 -- 715 -- 8.814 -- 0 -- 2
310 -- 1 -- 291 -- 0 -- 714 -- 7.638 -- 0 -- 2
311 -- 1 -- 255 -- 0 -- 670 -- 21.864 -- 0 -- 2
315 -- 1 -- 285 -- 0 -- 715 -- 8.681 -- 0 -- 2
318 -- 1 -- 285 -- 0 -- 670 -- 27.471 -- 0 -- 2
322 -- 1 -- 289 -- 0 -- 670 -- 24.965 -- 0 -- 2
326 -- 1 -- 288 -- 0 -- 714 -- 7.709 -- 0 -- 2
333 -- 1 -- 242 -- 0 -- 670 -- 20.024 -- 0 -- 2
339 -- 1 -- 258 -- 0 -- 670 -- 22.319 -- 0 -- 2
351 -- 1 -- 287 -- 0 -- 715 -- 9.246 -- 0 -- 2
354 -- 1 -- 282 -- 0 -- 670 -- 17.031 -- 0 -- 2
357 -- 1 -- 287 -- 0 -- 715 -- 8.679 -- 0 -- 2
359 -- 1 -- 237 -- 0 -- 670 -- 16.871 -- 0 -- 2
370 -- 1 -- 256 -- 0 -- 670 -- 17.523 -- 0 -- 2
371 -- 1 -- 285 -- 0 -- 715 -- 10.556 -- 0 -- 2
372 -- 1 -- 245 -- 0 -- 670 -- 18.033 -- 0 -- 2
373 -- 1 -- 287 -- 0 -- 715 -- 7.564 -- 0 -- 2
379 -- 1 -- 286 -- 0 -- 715 -- 8.942 -- 0 -- 2
383 -- 1 -- 281 -- 0 -- 670 -- 25.833 -- 0 -- 2
384 -- 1 -- 291 -- 0 -- 715 -- 10.913 -- 0 -- 2
387 -- 1 -- 248 -- 0 -- 670 -- 27.458 -- 0 -- 2
390 -- 1 -- 285 -- 0 -- 715 -- 11.067 -- 0 -- 2
391 -- 1 -- 283 -- 0 -- 670 -- 30.145 -- 0 -- 2
400 -- 1 -- 268 -- 0 -- 670 -- 22.255 -- 0 -- 2
405 -- 1 -- 246 -- 0 -- 670 -- 16.83 -- 0 -- 2
417 -- 1 -- 287 -- 0 -- 715 -- 8.652 -- 0 -- 2
422 -- 1 -- 273 -- 0 -- 670 -- 22.597 -- 0 -- 2
423 -- 1 -- 288 -- 0 -- 715 -- 7.743 -- 0 -- 2
428 -- 1 -- 289 -- 0 -- 714 -- 7.724 -- 0 -- 2
437 -- 1 -- 287 -- 0 -- 714 -- 7.708 -- 0 -- 2
441 -- 1 -- 286 -- 0 -- 715 -- 7.503 -- 0 -- 2
443 -- 1 -- 287 -- 0 -- 715 -- 7.639 -- 0 -- 2
444 -- 1 -- 257 -- 0 -- 670 -- 24.801 -- 0 -- 2
445 -- 1 -- 284 -- 0 -- 714 -- 9.023 -- 0 -- 2
449 -- 1 -- 287 -- 0 -- 715 -- 10.95 -- 0 -- 2
451 -- 1 -- 286 -- 0 -- 715 -- 7.329 -- 0 -- 2
456 -- 1 -- 250 -- 0 -- 670 -- 27.418 -- 0 -- 2
